City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
金坛,36,21,35,0.65,23,60,36,8
晋中,73,41,94,0.88,52,14,10,12
锦州,53,11,53,0.57,15,77,36,21
九江,34,11,33,0.55,13,72,50,8
酒泉,56,10,60,0.65,20,90,75,17
鸡西,26,9,25,0.25,5,56,42,4
句容,28,17,27,0.7,21,61,40,5
开封,62,27,71,1.0,21,104,41,15
喀什地区,142,73,231,0.7,38,42,12,8
克拉玛依,87,22,121,1.0,36,79,44,9
克州,183,21,313,0.7,3,69,61,4
库尔勒,143,64,234,0.6,12,50,27,12
昆明,24,9,18,0.4,11,60,47,9
昆山,17,10,16,0.5,20,34,19,8
来宾,25,6,8,0.45,3,51,49,9
莱芜,41,21,40,0.6,6,112,44,4
莱西,63,21,31,0.55,8,163,114,8
莱州,59,14,32,0.5,11,163,109,12
廊坊,29,13,28,0.45,29,61,26,2
兰州,50,17,49,0.7,26,65,37,7
拉萨,34,8,31,0.24,8,78,66,7
乐山,32,15,31,0.6,12,76,28,10
凉山州,23,5,7,0.62,8,73,40,9
连云港,34,10,20,0.44,12,93,66,10
聊城,66,33,80,0.83,28,93,57,24
辽阳,70,34,87,2.15,47,70,34,35
辽源,30,14,22,0.65,4,83,59,8
丽江,34,18,33,1.0,17,50,21,10
临安,17,3,14,0.4,22,43,32,6
临沧,34,15,33,0.0,0,53,18,13
临汾,81,59,84,1.29,21,49,30,17
临夏州,47,23,46,0.85,8,60,48,13
临沂,47,15,46,0.43,18,100,50,16
林芝,23,4,9,0.3,3,72,41,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,27,10,26,0.37,8,50,17,5
六盘水,24,8,18,0.53,18,48,46,11
柳州,26,18,9,0.65,6,46,48,5
溧阳,16,2,4,0.75,12,50,22,6
陇南,24,10,23,0.5,12,56,41,14
龙岩,25,16,24,0.65,12,30,15,8
娄底,55,31,58,1.35,11,63,68,3
六安,38,23,37,0.57,23,42,48,9
漯河,65,33,77,0.68,22,58,31,11
洛阳,46,32,43,1.03,27,50,16,15
泸州,31,17,30,0.33,24,32,15,12
吕梁,42,22,41,1.0,39,14,9,18
马鞍山,21,13,20,0.68,22,26,27,5
茂名,34,7,19,0.45,3,69,66,5
眉山,28,11,24,0.5,16,86,37,18
梅州,18,7,17,0.73,8,42,32,5
绵阳,24,9,20,0.43,11,74,32,5
牡丹江,28,7,27,0.16,8,72,38,2
南昌,30,14,29,0.8,14,69,41,6
南充,29,15,28,0.57,16,53,27,10
南京,19,11,18,0.54,23,50,32,4
南宁,23,7,7,0.77,13,41,45,6
南平,28,10,27,0.53,3,57,34,4
南通,11,6,10,0.33,13,29,20,14
南阳,55,32,58,0.94,21,78,62,7
那曲地区,38,18,37,0.53,6,57,49,3
内江,17,5,10,0.63,9,54,25,4
宁波,14,3,7,0.51,27,9,13,5
宁德,32,19,31,0.53,8,62,22,4
怒江州,57,18,62,0.85,12,29,14,6
盘锦,39,13,38,0.63,24,110,44,34
攀枝花,27,17,26,0.84,17,75,29,30
蓬莱,82,23,42,1.05,9,184,127,12
平顶山,61,43,56,1.03,27,52,35,16
平度,71,12,30,0.65,9,174,123,5
平凉,27,13,26,0.45,25,38,43,6
萍乡,41,15,40,1.0,9,68,43,10
普洱,27,10,22,0.55,13,78,53,6
莆田,40,15,39,0.44,12,95,41,9
濮阳,56,29,59,0.95,28,73,27,27
黔东南州,36,3,5,0.8,14,63,70,11
黔南州,31,5,10,0.8,11,53,61,9
黔西南州,28,10,13,0.6,8,58,55,4
青岛,42,10,41,0.49,17,91,46,7
庆阳,20,6,9,0.57,15,36,38,7
清远,26,8,25,0.5,10,51,50,5
秦皇岛,27,7,23,0.38,24,85,31,12
钦州,30,10,13,0.7,10,57,58,11
齐齐哈尔,26,4,17,0.32,6,69,51,4
七台河,77,10,101,0.25,8,81,61,6
泉州,53,21,53,0.48,11,100,46,10
曲靖,27,5,26,0.55,9,51,47,5
衢州,35,24,28,0.47,6,70,27,3
日喀则,44,2,12,0.2,1,98,86,5
日喀则地区,29,6,27,0.35,2,68,56,5
日照,35,10,29,0.2,10,102,68,5
荣成,61,34,44,1.05,6,149,112,12
乳山,57,15,39,0.7,15,149,107,11
三门峡,70,50,83,1.02,18,42,18,8
三明,29,13,28,0.63,6,53,22,9
三沙,30,7,20,0.3,30,51,58,6
三亚,31,9,30,0.55,12,39,49,5
上海,17,5,10,0.65,32,26,18,4
商洛,35,13,34,0.6,19,25,14,4
商丘,43,27,42,0.75,11,113,51,7
上饶,39,19,38,0.63,4,87,26,7
山南,36,5,21,0.35,8,90,70,5
山南地区,40,5,21,0.45,6,65,79,4
汕头,34,19,33,0.55,9,46,33,7
汕尾,23,10,22,0.7,6,51,45,6
韶关,30,11,29,0.68,11,47,30,11
绍兴,57,11,62,0.52,11,51,37,6
邵阳,33,23,30,1.02,12,43,47,6
沈阳,54,25,56,1.19,38,78,35,36
深圳,35,19,34,0.6,14,43,51,6
石河子,68,38,84,0.9,40,76,28,14
石家庄,57,32,62,0.71,27,77,28,16
十堰,35,13,34,0.83,17,63,46,9
石嘴山,70,37,87,2.57,50,39,41,85
寿光,75,34,71,0.7,14,179,110,22
双鸭山,47,6,46,0.33,3,65,51,3
朔州,66,22,79,0.8,24,62,21,17
四平,34,17,33,0.5,10,73,40,4
松原,27,5,26,0.35,2,68,36,2
绥化,20,14,16,0.35,5,43,33,2
遂宁,18,7,12,0.38,7,56,22,6
随州,64,45,61,1.03,14,45,38,5
宿迁,31,16,30,0.8,14,97,50,7
苏州,17,9,13,0.3,32,19,11,6
宿州,49,34,41,0.57,17,87,50,10
塔城地区,55,2,58,0.6,16,103,72,4
泰安,75,32,97,0.67,21,102,50,18
太仓,18,7,17,0.5,27,39,26,5
太原,81,33,109,0.89,49,18,9,19
台州,31,16,30,0.6,16,18,14,4
泰州,27,8,13,0.55,12,63,53,4
唐山,39,16,38,1.25,35,72,33,30
天津,57,32,61,1.07,53,73,26,16
天水,32,8,18,0.37,15,58,63,6
铁岭,58,19,63,1.2,32,64,38,22
铜川,26,18,25,1.5,24,31,33,12
通化,82,56,111,0.8,19,76,20,10
通辽,26,7,17,0.33,7,82,44,5
铜陵,35,24,34,0.8,23,22,21,10
铜仁地区,41,10,17,0.7,8,68,81,3
吐鲁番地区,85,26,117,0.95,34,46,28,12
瓦房店,36,12,25,0.3,11,100,70,4
潍坊,54,23,56,0.5,16,136,47,24
威海,47,16,42,0.77,7,128,92,13
渭南,33,21,32,0.48,14,52,31,3
文登,60,19,40,0.95,14,153,110,10
文山州,26,9,15,0.5,11,57,50,4
温州,34,13,33,0.6,15,24,16,5
乌海,61,25,70,1.13,47,50,50,37
武汉,36,21,35,0.94,17,103,71,7
芜湖,20,11,19,0.83,17,24,24,4
吴江,20,12,19,0.7,33,37,23,7
五家渠,70,27,87,1.1,31,61,14,16
乌兰察布,33,16,32,0.35,18,66,36,16
乌鲁木齐,69,21,85,0.82,43,43,29,9
武威,38,10,16,0.4,9,81,74,5
无锡,25,12,24,0.63,24,14,10,6
吴忠,24,13,18,0.17,20,63,47,3
梧州,25,7,13,0.6,9,50,49,6
厦门,48,23,47,0.45,18,65,41,8
西安,35,23,34,0.8,31,33,21,7
湘潭,57,38,62,0.81,16,80,57,8
湘西州,27,17,22,0.95,13,55,53,2
襄阳,78,57,66,0.93,27,39,38,9
咸宁,35,17,31,0.85,9,95,69,5
咸阳,54,35,56,0.85,29,41,31,7
孝感,38,26,36,0.8,3,84,68,6
锡林郭勒盟,33,20,10,0.35,3,87,64,13
兴安盟,24,6,12,0.23,4,74,44,2
邢台,94,70,131,2.77,75,25,12,46
西宁,48,27,47,1.0,32,46,52,10
新乡,60,39,67,1.3,28,84,29,21
信阳,76,55,84,0.78,21,32,32,5
新余,53,33,54,0.62,7,63,37,5
忻州,61,28,69,0.73,42,33,14,36
西双版纳州,30,15,29,0.6,13,75,22,6
宣城,29,19,28,0.83,26,35,34,7
许昌,58,35,63,1.4,28,60,25,10
徐州,61,31,69,0.89,28,106,49,15
雅安,23,11,22,0.5,11,70,41,6
延安,36,25,31,1.05,39,14,8,10
延边州,52,7,51,0.3,7,78,36,5
盐城,43,19,38,0.7,10,94,84,7
阳江,34,12,31,0.55,7,56,67,7
阳泉,59,37,66,0.88,45,41,16,18
扬州,29,8,19,0.56,12,64,56,5
烟台,53,20,54,0.82,11,131,54,13
宜宾,36,19,35,0.77,27,54,15,12
宜昌,38,26,37,0.98,31,37,41,5
宜春,59,36,65,0.72,16,78,48,20
伊春,16,6,12,0.25,3,48,29,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,85,46,118,1.1,32,54,26,16
银川,55,30,58,1.26,35,38,24,32
营口,43,18,42,0.63,21,105,51,9
鹰潭,44,28,43,0.8,11,63,27,18
义乌,14,6,13,0.45,17,24,16,3
宜兴,18,8,0,0.75,9,55,27,11
益阳,61,30,69,1.25,18,57,49,5
永州,49,34,45,0.52,11,42,48,3
岳阳,56,35,59,1.08,15,92,71,7
玉林,28,9,13,0.87,5,58,54,21
榆林,53,23,54,0.9,45,28,10,10
运城,53,36,45,1.2,12,80,36,10
云浮,37,13,15,0.5,6,53,73,6
玉树州,25,5,16,0.6,7,78,41,9
玉溪,67,48,17,0.57,12,68,54,10
枣庄,53,24,54,0.4,16,120,79,11
张家港,57,22,32,0.55,34,30,19,189
张家界,41,22,29,0.93,13,74,80,5
张家口,43,7,42,0.42,20,81,52,9
章丘,95,53,79,1.1,21,195,121,32
张掖,38,12,17,0.25,10,87,75,11
漳州,22,15,16,0.53,9,43,27,3
湛江,33,6,8,0.48,7,62,65,4
肇庆,55,38,0,0.6,9,55,61,4
昭通,27,9,18,0.55,13,62,52,14
招远,73,13,37,0.55,17,177,108,10
郑州,61,24,70,0.94,32,56,20,14
镇江,50,9,49,0.55,15,53,36,3
中山,28,10,19,0.43,1,42,54,3
中卫,30,17,29,0.7,20,53,41,9
周口,63,44,70,1.08,19,54,30,8
舟山,10,7,8,0.5,11,19,16,3
珠海,28,16,27,0.47,3,48,54,1
诸暨,18,5,5,0.85,3,55,33,4
驻马店,92,68,83,0.8,27,39,32,10
株洲,37,17,36,0.3,6,71,53,9
淄博,68,39,83,1.25,24,150,50,22
自贡,23,14,22,0.4,18,56,32,8
资阳,23,13,22,0.42,7,63,29,5
遵义,17,7,14,0.6,16,26,33,5
